Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung mit Migrationshintergrund 1);Bevölkerung ohne Migrationshintergrund;Bevölkerung ohne Migrationshintergrund
0401112;Häfen (Stadtteil);2022-12-31;6 - 15;2;1;1;1;1;0;0;0;2;0
0401112;Häfen (Stadtteil);2022-12-31;15 - 18;7;1;7;1;0;0;0;0;1;1
0401112;Häfen (Stadtteil);2022-12-31;18 - 25;14;3;13;3;1;0;0;0;1;0
0401112;Häfen (Stadtteil);2022-12-31;25 - 30;7;1;6;0;1;1;0;0;3;0
0401112;Häfen (Stadtteil);2022-12-31;30 - 50;26;8;25;8;1;0;0;0;19;5
0401112;Häfen (Stadtteil);2022-12-31;50 - 65;7;0;7;0;0;0;0;0;21;8
0401112;Häfen (Stadtteil);2022-12-31;65 oder mehr;4;2;2;1;1;1;1;0;9;6
0401112;Häfen (Stadtteil);2022-12-31;Insgesamt;70;19;62;15;7;4;1;0;56;20
04011121;Handelshäfen (Ortsteil);2022-12-31;unter 6;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2022-12-31;6 - 15;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2022-12-31;15 - 18;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2022-12-31;18 - 25;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2022-12-31;25 - 30;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2022-12-31;30 - 50;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2022-12-31;50 - 65;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2022-12-31;65 oder mehr;x;x;x;x;x;x;x;x;x;x
04011121;Handelshäfen (Ortsteil);2022-12-31;Insgesamt;x;x;x;x;x;x;x;x;x;x
04011122;Industriehäfen (Ortsteil);2022-12-31;unter 6;1;1;1;1;0;0;0;0;0;0
04011122;Industriehäfen (Ortsteil);2022-12-31;6 - 15;1;1;1;1;0;0;0;0;0;0
04011122;Industriehäfen (Ortsteil);2022-12-31;15 - 18;7;1;7;1;0;0;0;0;1;1
04011122;Industriehäfen (Ortsteil);2022-12-31;18 - 25;5;0;5;0;0;0;0;0;1;0
04011122;Industriehäfen (Ortsteil);2022-12-31;25 - 30;0;0;0;0;0;0;0;0;1;0
04011122;Industriehäfen (Ortsteil);2022-12-31;30 - 50;11;3;11;3;0;0;0;0;10;1
04011122;Industriehäfen (Ortsteil);2022-12-31;50 - 65;5;0;5;0;0;0;0;0;8;4
04011122;Industriehäfen (Ortsteil);2022-12-31;65 oder mehr;2;1;1;1;0;0;1;0;6;4
04011122;Industriehäfen (Ortsteil);2022-12-31;Insgesamt;32;7;31;7;0;0;1;0;27;10
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2022-12-31;unter 6;0;0;0;0;0;0;0;0;0;0
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2022-12-31;6 - 15;0;0;0;0;0;0;0;0;0;0
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2022-12-31;15 - 18;0;0;0;0;0;0;0;0;0;0
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2022-12-31;18 - 25;0;0;0;0;0;0;0;0;0;0
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2022-12-31;25 - 30;0;0;0;0;0;0;0;0;0;0
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2022-12-31;30 - 50;0;0;0;0;0;0;0;0;2;1
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2022-12-31;50 - 65;0;0;0;0;0;0;0;0;1;0
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2022-12-31;65 oder mehr;0;0;0;0;0;0;0;0;2;2
04011123;Stadtbr Überseehafengebiet Bremerhaven (Ortsteil);2022-12-31;Insgesamt;0;0;0;0;0;0;0;0;5;3
04011124;Neustädter Häfen (Ortsteil);2022-12-31;unter 6;2;2;0;0;2;2;0;0;0;0
04011124;Neustädter Häfen (Ortsteil);2022-12-31;6 - 15;1;0;0;0;1;0;0;0;0;0
04011124;Neustädter Häfen (Ortsteil);2022-12-31;15 - 18;0;0;0;0;0;0;0;0;0;0
04011124;Neustädter Häfen (Ortsteil);2022-12-31;18 - 25;0;0;0;0;0;0;0;0;0;0
04011124;Neustädter Häfen (Ortsteil);2022-12-31;25 - 30;1;1;0;0;1;1;0;0;0;0
04011124;Neustädter Häfen (Ortsteil);2022-12-31;30 - 50;0;0;0;0;0;0;0;0;0;0
04011124;Neustädter Häfen (Ortsteil);2022-12-31;50 - 65;0;0;0;0;0;0;0;0;0;0
04011124;Neustädter Häfen (Ortsteil);2022-12-31;65 oder mehr;1;1;0;0;1;1;0;0;0;0
04011124;Neustädter Häfen (Ortsteil);2022-12-31;Insgesamt;5;4;0;0;5;4;0;0;0;0
04011125;Hohentorshafen (Ortsteil);2022-12-31;unter 6;0;0;0;0;0;0;0;0;0;0
04011125;Hohentorshafen (Ortsteil);2022-12-31;6 - 15;0;0;0;0;0;0;0;0;2;0
04011125;Hohentorshafen (Ortsteil);2022-12-31;15 - 18;0;0;0;0;0;0;0;0;0;0
04011125;Hohentorshafen (Ortsteil);2022-12-31;18 - 25;9;3;8;3;1;0;0;0;0;0
04011125;Hohentorshafen (Ortsteil);2022-12-31;25 - 30;6;0;6;0;0;0;0;0;2;0
04011125;Hohentorshafen (Ortsteil);2022-12-31;30 - 50;15;5;14;5;1;0;0;0;7;3
04011125;Hohentorshafen (Ortsteil);2022-12-31;50 - 65;2;0;2;0;0;0;0;0;12;4
04011125;Hohentorshafen (Ortsteil);2022-12-31;65 oder mehr;1;0;1;0;0;0;0;0;1;0
04011125;Hohentorshafen (Ortsteil);2022-12-31;Insgesamt;33;8;31;8;2;0;0;0;24;7
040112;Süd (Stadtbezirk);2022-12-31;unter 6;5235;2472;1984;932;2875;1364;376;176;2749;1358
040112;Süd (Stadtbezirk);2022-12-31;6 - 15;6746;3290;2642;1265;3566;1769;538;256;3799;1843
040112;Süd (Stadtbezirk);2022-12-31;15 - 18;1996;975;718;338;1118;568;160;69;1339;624
040112;Süd (Stadtbezirk);2022-12-31;18 - 25;4392;1941;2716;1097;1501;756;175;88;5998;2989
040112;Süd (Stadtbezirk);2022-12-31;25 - 30;4332;1959;2943;1299;1171;552;218;108;5291;2697
040112;Süd (Stadtbezirk);2022-12-31;30 - 50;15938;7854;9637;4630;4769;2430;1532;794;18368;9035
040112;Süd (Stadtbezirk);2022-12-31;50 - 65;7634;3807;3837;1923;2752;1335;1045;549;18018;9124
040112;Süd (Stadtbezirk);2022-12-31;65 oder mehr;4537;2478;1964;1090;1616;841;957;547;21241;12188
040112;Süd (Stadtbezirk);2022-12-31;Insgesamt;50810;24776;26441;12574;19368;9615;5001;2587;76803;39858
0401121;Neustadt (Stadtteil);2022-12-31;unter 6;1359;632;499;223;782;375;78;34;1116;560
0401121;Neustadt (Stadtteil);2022-12-31;6 - 15;1452;720;641;314;754;380;57;26;1299;650
0401121;Neustadt (Stadtteil);2022-12-31;15 - 18;421;202;202;96;208;100;11;6;433;191
0401121;Neustadt (Stadtteil);2022-12-31;18 - 25;1663;692;1161;435;460;232;42;25;2711;1426
0401121;Neustadt (Stadtteil);2022-12-31;25 - 30;1893;843;1366;583;459;222;68;38;3203;1689
0401121;Neustadt (Stadtteil);2022-12-31;30 - 50;5413;2491;3613;1597;1466;737;334;157;9007;4323
0401121;Neustadt (Stadtteil);2022-12-31;50 - 65;1967;952;1216;582;660;322;91;48;6213;3095
0401121;Neustadt (Stadtteil);2022-12-31;65 oder mehr;1140;612;675;382;390;188;75;42;6080;3560
0401121;Neustadt (Stadtteil);2022-12-31;Insgesamt;15308;7144;9373;4212;5179;2556;756;376;30062;15494
04011211;Alte Neustadt (Ortsteil);2022-12-31;unter 6;138;75;63;34;65;37;10;4;130;67
