12411-03-03: Bevölkerung nach Geschlecht, Nationalität und Altersgruppen bis 90+ (Stand  31.12.)
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1)
;;;;insgesamt;männlich;weiblich;Deutsche;Deutsche;Deutsche;Ausländer 2);Ausländer 2);Ausländer 2)
;;;;;;;zusammen;männlich;weiblich;zusammen;männlich;weiblich
04;Land Bremen;2000-12-31;unter 3;17873;9145;8728;15002;7686;7316;2871;1459;1412
04;Land Bremen;2000-12-31;3 - 6;18254;9445;8809;14859;7707;7152;3395;1738;1657
04;Land Bremen;2000-12-31;6 - 10;24304;12533;11771;20222;10451;9771;4082;2082;2000
04;Land Bremen;2000-12-31;10 - 15;31710;16207;15503;26508;13474;13034;5202;2733;2469
04;Land Bremen;2000-12-31;15 - 18;18441;9366;9075;15299;7745;7554;3142;1621;1521
04;Land Bremen;2000-12-31;18 - 20;13857;6816;7041;11605;5650;5955;2252;1166;1086
04;Land Bremen;2000-12-31;20 - 25;37198;18324;18874;29851;14711;15140;7347;3613;3734
04;Land Bremen;2000-12-31;25 - 30;42220;21359;20861;32925;16471;16454;9295;4888;4407
04;Land Bremen;2000-12-31;30 - 35;54898;29181;25717;46237;24374;21863;8661;4807;3854
04;Land Bremen;2000-12-31;35 - 40;54020;28054;25966;46487;23761;22726;7533;4293;3240
04;Land Bremen;2000-12-31;40 - 45;48228;24211;24017;42732;21229;21503;5496;2982;2514
04;Land Bremen;2000-12-31;45 - 50;44149;21901;22248;39611;19726;19885;4538;2175;2363
04;Land Bremen;2000-12-31;50 - 55;42795;21393;21402;38034;18989;19045;4761;2404;2357
04;Land Bremen;2000-12-31;55 - 60;42654;21520;21134;38885;19401;19484;3769;2119;1650
04;Land Bremen;2000-12-31;60 - 65;48111;23597;24514;45371;22001;23370;2740;1596;1144
04;Land Bremen;2000-12-31;65 - 70;33876;15316;18560;32302;14455;17847;1574;861;713
04;Land Bremen;2000-12-31;70 - 75;30389;12538;17851;29539;12164;17375;850;374;476
04;Land Bremen;2000-12-31;75 - 80;25823;8541;17282;25248;8304;16944;575;237;338
04;Land Bremen;2000-12-31;80 - 85;14714;4477;10237;14457;4386;10071;257;91;166
04;Land Bremen;2000-12-31;85 - 90;11168;2941;8227;10966;2884;8082;202;57;145
04;Land Bremen;2000-12-31;90 und mehr;5543;1402;4141;5321;1327;3994;222;75;147
04;Land Bremen;2000-12-31;Insgesamt;660225;318267;341958;581461;276896;304565;78764;41371;37393
04011;Stadt Bremen;2000-12-31;unter 3;14517;7391;7126;12062;6153;5909;2455;1238;1217
04011;Stadt Bremen;2000-12-31;3 - 6;14824;7711;7113;11884;6218;5666;2940;1493;1447
04011;Stadt Bremen;2000-12-31;6 - 10;19589;10069;9520;16076;8272;7804;3513;1797;1716
04011;Stadt Bremen;2000-12-31;10 - 15;25216;12891;12325;20959;10672;10287;4257;2219;2038
04011;Stadt Bremen;2000-12-31;15 - 18;14388;7286;7102;11768;5939;5829;2620;1347;1273
04011;Stadt Bremen;2000-12-31;18 - 20;10958;5437;5521;9087;4453;4634;1871;984;887
04011;Stadt Bremen;2000-12-31;20 - 25;30410;14834;15576;24139;11778;12361;6271;3056;3215
04011;Stadt Bremen;2000-12-31;25 - 30;35171;17650;17521;27246;13555;13691;7925;4095;3830
04011;Stadt Bremen;2000-12-31;30 - 35;45969;24289;21680;38687;20254;18433;7282;4035;3247
04011;Stadt Bremen;2000-12-31;35 - 40;44717;23199;21518;38496;19659;18837;6221;3540;2681
04011;Stadt Bremen;2000-12-31;40 - 45;39519;19804;19715;34945;17335;17610;4574;2469;2105
04011;Stadt Bremen;2000-12-31;45 - 50;35704;17715;17989;31881;15849;16032;3823;1866;1957
04011;Stadt Bremen;2000-12-31;50 - 55;35163;17495;17668;31166;15484;15682;3997;2011;1986
04011;Stadt Bremen;2000-12-31;55 - 60;35065;17544;17521;31948;15796;16152;3117;1748;1369
04011;Stadt Bremen;2000-12-31;60 - 65;39438;19238;20200;37122;17871;19251;2316;1367;949
04011;Stadt Bremen;2000-12-31;65 - 70;27628;12497;15131;26263;11744;14519;1365;753;612
04011;Stadt Bremen;2000-12-31;70 - 75;24465;10125;14340;23672;9774;13898;793;351;442
04011;Stadt Bremen;2000-12-31;75 - 80;20769;6788;13981;20249;6567;13682;520;221;299
04011;Stadt Bremen;2000-12-31;80 - 85;11861;3511;8350;11624;3424;8200;237;87;150
04011;Stadt Bremen;2000-12-31;85 - 90;9258;2429;6829;9079;2379;6700;179;50;129
04011;Stadt Bremen;2000-12-31;90 und mehr;4774;1207;3567;4579;1135;3444;195;72;123
04011;Stadt Bremen;2000-12-31;Insgesamt;539403;259110;280293;472932;224311;248621;66471;34799;31672
040111;Mitte (Stadtbezirk);2000-12-31;unter 3;309;157;152;238;119;119;71;38;33
040111;Mitte (Stadtbezirk);2000-12-31;3 - 6;252;121;131;195;97;98;57;24;33
040111;Mitte (Stadtbezirk);2000-12-31;6 - 10;284;143;141;214;104;110;70;39;31
040111;Mitte (Stadtbezirk);2000-12-31;10 - 15;390;195;195;307;145;162;83;50;33
040111;Mitte (Stadtbezirk);2000-12-31;15 - 18;263;128;135;208;97;111;55;31;24
040111;Mitte (Stadtbezirk);2000-12-31;18 - 20;282;132;150;227;105;122;55;27;28
040111;Mitte (Stadtbezirk);2000-12-31;20 - 25;1203;533;670;972;429;543;231;104;127
040111;Mitte (Stadtbezirk);2000-12-31;25 - 30;1639;849;790;1262;655;607;377;194;183
040111;Mitte (Stadtbezirk);2000-12-31;30 - 35;1953;1118;835;1563;879;684;390;239;151
040111;Mitte (Stadtbezirk);2000-12-31;35 - 40;1542;904;638;1238;705;533;304;199;105
040111;Mitte (Stadtbezirk);2000-12-31;40 - 45;1313;708;605;1036;531;505;277;177;100
040111;Mitte (Stadtbezirk);2000-12-31;45 - 50;1230;683;547;1026;545;481;204;138;66
040111;Mitte (Stadtbezirk);2000-12-31;50 - 55;1202;670;532;1042;569;473;160;101;59
040111;Mitte (Stadtbezirk);2000-12-31;55 - 60;1017;552;465;923;498;425;94;54;40
040111;Mitte (Stadtbezirk);2000-12-31;60 - 65;896;494;402;801;432;369;95;62;33
040111;Mitte (Stadtbezirk);2000-12-31;65 - 70;536;249;287;474;208;266;62;41;21
040111;Mitte (Stadtbezirk);2000-12-31;70 - 75;427;174;253;397;159;238;30;15;15
040111;Mitte (Stadtbezirk);2000-12-31;75 - 80;452;120;332;418;104;314;34;16;18
040111;Mitte (Stadtbezirk);2000-12-31;80 - 85;285;61;224;275;53;222;10;8;2
040111;Mitte (Stadtbezirk);2000-12-31;85 - 90;225;43;182;217;40;177;8;3;5
040111;Mitte (Stadtbezirk);2000-12-31;90 und mehr;199;61;138;172;50;122;27;11;16
040111;Mitte (Stadtbezirk);2000-12-31;Insgesamt;15899;8095;7804;13205;6524;6681;2694;1571;1123
0401111;Mitte (Stadtteil);2000-12-31;unter 3;302;152;150;232;115;117;70;37;33
0401111;Mitte (Stadtteil);2000-12-31;3 - 6;250;119;131;194;96;98;56;23;33
0401111;Mitte (Stadtteil);2000-12-31;6 - 10;279;140;139;210;102;108;69;38;31
0401111;Mitte (Stadtteil);2000-12-31;10 - 15;383;190;193;305;144;161;78;46;32
0401111;Mitte (Stadtteil);2000-12-31;15 - 18;255;124;131;204;95;109;51;29;22
0401111;Mitte (Stadtteil);2000-12-31;18 - 20;274;125;149;223;102;121;51;23;28
0401111;Mitte (Stadtteil);2000-12-31;20 - 25;1181;525;656;963;426;537;218;99;119
0401111;Mitte (Stadtteil);2000-12-31;25 - 30;1627;841;786;1257;652;605;370;189;181
0401111;Mitte (Stadtteil);2000-12-31;30 - 35;1930;1103;827;1550;873;677;380;230;150
0401111;Mitte (Stadtteil);2000-12-31;35 - 40;1506;875;631;1223;694;529;283;181;102
0401111;Mitte (Stadtteil);2000-12-31;40 - 45;1287;692;595;1019;523;496;268;169;99
0401111;Mitte (Stadtteil);2000-12-31;45 - 50;1204;662;542;1006;529;477;198;133;65
0401111;Mitte (Stadtteil);2000-12-31;50 - 55;1170;651;519;1023;558;465;147;93;54
0401111;Mitte (Stadtteil);2000-12-31;55 - 60;979;528;451;895;480;415;84;48;36
0401111;Mitte (Stadtteil);2000-12-31;60 - 65;874;480;394;781;420;361;93;60;33
0401111;Mitte (Stadtteil);2000-12-31;65 - 70;523;241;282;462;201;261;61;40;21
0401111;Mitte (Stadtteil);2000-12-31;70 - 75;420;172;248;390;157;233;30;15;15
0401111;Mitte (Stadtteil);2000-12-31;75 - 80;449;118;331;415;102;313;34;16;18
0401111;Mitte (Stadtteil);2000-12-31;80 - 85;283;60;223;273;52;221;10;8;2
0401111;Mitte (Stadtteil);2000-12-31;85 - 90;223;42;181;215;39;176;8;3;5
0401111;Mitte (Stadtteil);2000-12-31;90 und mehr;199;61;138;172;50;122;27;11;16
0401111;Mitte (Stadtteil);2000-12-31;Insgesamt;15598;7901;7697;13012;6410;6602;2586;1491;1095
04011111;Altstadt (Ortsteil);2000-12-31;unter 3;55;32;23;46;25;21;9;7;2
04011111;Altstadt (Ortsteil);2000-12-31;3 - 6;32;11;21;23;10;13;9;1;8
04011111;Altstadt (Ortsteil);2000-12-31;6 - 10;34;17;17;21;9;12;13;8;5
04011111;Altstadt (Ortsteil);2000-12-31;10 - 15;59;26;33;43;17;26;16;9;7
04011111;Altstadt (Ortsteil);2000-12-31;15 - 18;44;21;23;33;13;20;11;8;3
04011111;Altstadt (Ortsteil);2000-12-31;18 - 20;60;28;32;41;19;22;19;9;10
04011111;Altstadt (Ortsteil);2000-12-31;20 - 25;254;118;136;203;94;109;51;24;27
04011111;Altstadt (Ortsteil);2000-12-31;25 - 30;313;172;141;231;123;108;82;49;33
04011111;Altstadt (Ortsteil);2000-12-31;30 - 35;361;228;133;264;157;107;97;71;26
04011111;Altstadt (Ortsteil);2000-12-31;35 - 40;284;186;98;207;131;76;77;55;22
04011111;Altstadt (Ortsteil);2000-12-31;40 - 45;231;143;88;154;86;68;77;57;20
04011111;Altstadt (Ortsteil);2000-12-31;45 - 50;218;131;87;156;87;69;62;44;18
