12411-03-03: Bevölkerung nach Geschlecht, Nationalität und Altersgruppen bis 90+ (Stand  31.12.)
Gebietsschlüssel;Gebietseinheit;Zeit;Alter von ... bis unter ... Jahren;Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1);Bevölkerung 1)
;;;;insgesamt;männlich;weiblich;Deutsche;Deutsche;Deutsche;Ausländer 2);Ausländer 2);Ausländer 2)
;;;;;;;zusammen;männlich;weiblich;zusammen;männlich;weiblich
0401124;Huchting (Stadtteil);2021-12-31;10 - 15;1602;834;768;1112;565;547;490;269;221
0401124;Huchting (Stadtteil);2021-12-31;15 - 18;1050;567;483;762;392;370;288;175;113
0401124;Huchting (Stadtteil);2021-12-31;18 - 20;674;364;310;496;249;247;178;115;63
0401124;Huchting (Stadtteil);2021-12-31;20 - 25;1704;920;784;1146;603;543;558;317;241
0401124;Huchting (Stadtteil);2021-12-31;25 - 30;1670;903;767;1002;534;468;668;369;299
0401124;Huchting (Stadtteil);2021-12-31;30 - 35;1850;906;944;1120;549;571;730;357;373
0401124;Huchting (Stadtteil);2021-12-31;35 - 40;1834;874;960;1104;531;573;730;343;387
0401124;Huchting (Stadtteil);2021-12-31;40 - 45;1747;864;883;1104;545;559;643;319;324
0401124;Huchting (Stadtteil);2021-12-31;45 - 50;1725;844;881;1146;561;585;579;283;296
0401124;Huchting (Stadtteil);2021-12-31;50 - 55;2069;1003;1066;1575;757;818;494;246;248
0401124;Huchting (Stadtteil);2021-12-31;55 - 60;2234;1103;1131;1883;922;961;351;181;170
0401124;Huchting (Stadtteil);2021-12-31;60 - 65;1922;949;973;1677;817;860;245;132;113
0401124;Huchting (Stadtteil);2021-12-31;65 - 70;1501;692;809;1310;602;708;191;90;101
0401124;Huchting (Stadtteil);2021-12-31;70 - 75;1336;610;726;1214;556;658;122;54;68
0401124;Huchting (Stadtteil);2021-12-31;75 - 80;1152;511;641;1059;466;593;93;45;48
0401124;Huchting (Stadtteil);2021-12-31;80 - 85;1496;574;922;1429;549;880;67;25;42
0401124;Huchting (Stadtteil);2021-12-31;85 - 90;801;307;494;778;296;482;23;11;12
0401124;Huchting (Stadtteil);2021-12-31;90 und mehr;338;122;216;321;115;206;17;7;10
0401124;Huchting (Stadtteil);2021-12-31;Insgesamt;30425;14916;15509;22559;10854;11705;7866;4062;3804
04011241;Mittelshuchting (Ortsteil);2021-12-31;unter 3;498;264;234;287;156;131;211;108;103
04011241;Mittelshuchting (Ortsteil);2021-12-31;3 - 6;486;261;225;276;143;133;210;118;92
04011241;Mittelshuchting (Ortsteil);2021-12-31;6 - 10;552;284;268;332;165;167;220;119;101
04011241;Mittelshuchting (Ortsteil);2021-12-31;10 - 15;628;331;297;412;218;194;216;113;103
04011241;Mittelshuchting (Ortsteil);2021-12-31;15 - 18;429;246;183;303;161;142;126;85;41
04011241;Mittelshuchting (Ortsteil);2021-12-31;18 - 20;261;131;130;183;80;103;78;51;27
04011241;Mittelshuchting (Ortsteil);2021-12-31;20 - 25;625;341;284;414;213;201;211;128;83
04011241;Mittelshuchting (Ortsteil);2021-12-31;25 - 30;609;312;297;361;192;169;248;120;128
04011241;Mittelshuchting (Ortsteil);2021-12-31;30 - 35;739;373;366;437;222;215;302;151;151
04011241;Mittelshuchting (Ortsteil);2021-12-31;35 - 40;719;341;378;406;197;209;313;144;169
04011241;Mittelshuchting (Ortsteil);2021-12-31;40 - 45;681;343;338;421;210;211;260;133;127
